id,writer
18402,[]
9348,[]
139408,[b'Philip Railsback']
281,"[b'James Cameron', b'Jay Cocks']"
5967,[b'Jacques Demy']
79593,[]
47939,[b'Elizabeth Anderson']
36834,[b'Christopher Hampton']
9090,[b'Douglas Carter Beane']
3512,"[b'Richard Hatem', b'Matt Reeves']"
52856,[b'Richard LaGravenese']
77350,[]
9560,"[b'Robert Mark Kamen', b'Mark Miller', b'Harvey Weitzman']"
9804,[]
31611,[]
65796,[b'Walter Hill']
49805,[]
26258,"[b'Danny Byers', b'John Jordan', b'Tommy Swerdlow', b'Michael Goldberg']"
50797,"[b'Rustam Ibragimbekov', b'Nikita Mikhalkov']"
19155,[]
76,"[b'Richard Linklater', b'Kim Krizan']"
11017,"[b'Tim Herlihy', b'Adam Sandler']"
37141,[b'Guy Ferland']
9382,[b'Don Roos']
6715,[b'Robert Kuhn']
18256,[b'Dennis Paoli']
22625,[]
2292,[b'Kevin Smith']
1909,[b'Jeremy Leven']
8984,[b'Paul Attanasio']
61813,[]
4954,"[b'Peter Barsocchini', b'John Bishop']"
62488,"[b'Robert Ramsey', b'Matthew Stone']"
10531,"[b'Rafael Yglesias', b'Ariel Dorfman']"
11929,[b'Tony Gilroy']
8467,[]
10451,"[b'Ang Lee', b'James Schamus', b'Wang Hui-Ling']"
20156,[]
18395,"[b'Deborah Amelon', b'Bob Brunner']"
522,"[b'Scott Alexander', b'Larry Karaszewski']"
397,[b'Adam Brooks']
10525,"[b'Billy Crystal', b'Lowell Ganz', b'Babaloo Mandel']"
27985,[]
15789,"[b'Chris Matheson', b'Brian Pimental']"
27303,[b'Andrew Kevin Walker']
21183,"[b'Carlo Carlei', b'James Carrington']"
10954,[b'Marcel Beaulieu']
47867,[]
43475,[]
72031,"[b'Ned Welsh', b'John Eddie Johnson']"
14275,[]
1024,"[b'Peter Jackson', b'Fran Walsh']"
17207,[]
13701,[]
14819,[]
32631,[]
11777,"[b'Michael J. Leeson', b'Andy Breckman']"
628,[b'Anne Rice']
87729,[]
18713,[]
6280,"[b'Kevin Wade', b'Chris Conrad']"
9061,"[b'Peter Stone', b'Jeb Stuart']"
37108,[]
6071,"[b'Eleazar Lipsky', b'Richard Price']"
11,[]
9587,[b'Robin Swicord']
19101,"[b'Richard LaGravenese', b'Elizabeth Chandler']"
49980,[]
17961,[]
18183,[b'Laura Esquivel']
4476,"[b'William D. Wittliff', b'Susan Shilliday']"
11008,"[b'Dean Lorey', b'Damon Wayans', b'Gary Rosen']"
47504,[b'James Gray']
32325,[]
43742,"[b'Robert Towne', b'Warren Beatty']"
28313,[b'Naomi Foner Gyllenhaal']
11318,[b'Alan Bennett']
3036,"[b'Frank Darabont', b'Steph Lady']"
40490,"[b'James Orr', b'Jim Cruickshank']"
24070,"[b'Nora Ephron', b'Delia Ephron']"
8986,[b'John Mattson']
10510,"[b'George Seaton', b'John Hughes']"
17402,[]
38722,[]
8438,[b'Dan Gordon']
11593,[b'Robert Benton']
1945,"[b'William Nicholson', b'Mark Handley']"
39310,[]
109560,[]
56428,[]
63105,[]
131957,[]
241,"[b'Oliver Stone', b'David Veloz', b'Richard Rutowski']"
9058,[b'Diane Drake']
527,[b'Riwia Brown']
18220,[b'Chloe King']
6950,"[b'Laurence Dworet', b'Robert Roy Pool']"
101,[b'Luc Besson']
63020,[b'Robin Swicord']
2307,[b'Morgan Ward']
680,"[b'Quentin Tarantino', b'Roger Avary']"
41478,[]
25296,[]
40156,[]
11450,[b'Paul Attanasio']
30304,"[b'Kayo Hatta', b'Mari Hatta']"
10452,"[b'Dani\xc3\xa8le Thompson', b'Patrice Ch\xc3\xa9reau']"
12106,[b'Simon Moore']
161495,[]
3586,"[b'Robert Altman', b'Barbara Shulgasser']"
110,"[b'Krzysztof Kie\xc5\x9blowski', b'Krzysztof Piesiewicz']"
108,[b'Krzysztof Kie\xc5\x9blowski']
109,"[b'Krzysztof Kie\xc5\x9blowski', b'Krzysztof Piesiewicz']"
159185,[]
36357,[]
92769,[b'Kurt Wimmer']
28033,[b'Al Franken']
22586,[b'Brian Nissen']
14334,[b'John Sayles']
2636,[b'Alexandra Seros']
2164,"[b'Roland Emmerich', b'Dean Devlin']"
11395,"[b'Steve Rudnick', b'Leo Benvenuti']"
278,[]
9905,[b'John Hodge']
87078,[]
12527,[b'Senel Paz']
20306,[]
36614,[b'David Stevens']
27993,[]
31439,[b'Lu Wei']
9067,[b'Tedi Sarafian']
9059,[]
193,"[b'Ronald D. Moore', b'Brannon Braga']"
25066,[]
46797,[]
12122,[b'David Himmelstein']
11381,[b'Bonnie Turner']
32636,"[b'David Mamet', b'Andre Gregory']"
36141,"[b'Steven Soderbergh', b'Daniel Fuchs']"
95963,[]
1587,[b'Peter Hedges']
9271,[b'Eric Bernt']
2064,"[b'Daniel G. Sullivan', b'Fredric LeBow']"
19855,[]
60855,[]
236,[]
48287,[b'Dalene Young']
3049,"[b'Jack Bernstein', b'Jim Carrey', b'Tom Shadyac']"
2759,[b'Stephan Elliott']
12635,"[b'Iain Softley', b'Michael Thomas', b'Stephen Ward']"
10497,"[b'Roman Polanski', b'G\xc3\xa9rard Brach', b'John Brownjohn']"
11382,"[b'Douglas McGrath', b'Woody Allen']"
9331,"[b'Steven Zaillian', b'John Milius', b'Donald Stewart']"
